date,realgdp,realcons,realdpi,tbilrate,unemp
1959-01-01,2710.349,1707.4,1886.9,2.82,5.8
1959-04-01,2778.801,1733.7,1919.7,3.08,5.1
1959-07-01,2775.488,1751.8,1916.4,3.82,5.3
1959-10-01,2785.204,1753.7,1931.3,4.33,5.6
1960-01-01,2847.699,1770.5,1955.5,3.5,5.2
1960-04-01,2834.39,1792.9,1966.1,2.68,5.2
1960-07-01,2839.022,1785.8,1967.8,2.36,5.6
1960-10-01,2802.616,1788.2,1966.6,2.29,6.3
1961-01-01,2819.264,1787.7,1984.5,2.37,6.8
1961-04-01,2872.005,1814.3,2014.4,2.29,7.0
1961-07-01,2918.419,1823.1,2041.9,2.32,6.8
1961-10-01,2977.83,1859.6,2082.0,2.6,6.2
1962-01-01,3031.241,1879.4,2101.7,2.73,5.6
1962-04-01,3064.709,1902.5,2125.2,2.78,5.5
1962-07-01,3093.047,1917.9,2137.0,2.78,5.6
1962-10-01,3100.563,1945.1,2154.6,2.87,5.5
1963-01-01,3141.087,1958.2,2172.5,2.9,5.8
1963-04-01,3180.447,1976.9,2193.1,3.03,5.7
1963-07-01,3240.332,2003.8,2217.9,3.38,5.5
1963-10-01,3264.967,2020.6,2254.6,3.52,5.6
1964-01-01,3338.246,2060.5,2299.6,3.51,5.5
1964-04-01,3376.587,2096.7,2362.1,3.47,5.2
1964-07-01,3422.469,2135.2,2392.7,3.53,5.0
1964-10-01,3431.957,2141.2,2420.4,3.76,5.0
1965-01-01,3516.251,2188.8,2447.4,3.93,4.9
1965-04-01,3563.96,2213.0,2474.5,3.84,4.7
1965-07-01,3636.285,2251.0,2542.6,3.93,4.4
1965-10-01,3724.014,2314.3,2594.1,4.35,4.1
1966-01-01,3815.423,2348.5,2618.4,4.62,3.9
1966-04-01,3828.124,2354.5,2624.7,4.65,3.8
1966-07-01,3853.301,2381.5,2657.8,5.23,3.8
1966-10-01,3884.52,2391.4,2688.2,5.0,3.7
1967-01-01,3918.74,2405.3,2728.4,4.22,3.8
1967-04-01,3919.556,2438.1,2750.8,3.78,3.8
1967-07-01,3950.826,2450.6,2777.1,4.42,3.8
1967-10-01,3980.97,2465.7,2797.4,4.9,3.9
1968-01-01,4063.013,2524.6,2846.2,5.18,3.7
1968-04-01,4131.998,2563.3,2893.5,5.5,3.5
1968-07-01,4160.267,2611.5,2899.3,5.21,3.5
1968-10-01,4178.293,2623.5,2918.4,5.85,3.4
1969-01-01,4244.1,2652.9,2923.4,6.08,3.4
1969-04-01,4256.46,2669.8,2952.9,6.49,3.4
1969-07-01,4283.378,2682.7,3012.9,7.02,3.6
1969-10-01,4263.261,2704.1,3034.9,7.64,3.6
1970-01-01,4256.573,2720.7,3050.1,6.76,4.2
1970-04-01,4264.289,2733.2,3103.5,6.66,4.8
1970-07-01,4302.259,2757.1,3145.4,6.15,5.2
1970-10-01,4256.637,2749.6,3135.1,4.86,5.8
1971-01-01,4374.016,2802.2,3197.3,3.65,5.9
1971-04-01,4398.829,2827.9,3245.3,4.76,5.9
1971-07-01,4433.943,2850.4,3259.7,4.7,6.0
1971-10-01,4446.264,2897.8,3294.2,3.87,6.0
1972-01-01,4525.769,2936.5,3314.9,3.55,5.8
1972-04-01,4633.101,2992.6,3346.1,3.86,5.7
1972-07-01,4677.503,3038.8,3414.6,4.47,5.6
1972-10-01,4754.546,3110.1,3550.5,5.09,5.3
1973-01-01,4876.166,3167.0,3590.7,5.98,5.0
1973-04-01,4932.571,3165.4,3626.2,7.19,4.9
1973-07-01,4906.252,3176.7,3644.4,8.06,4.8
1973-10-01,4953.05,3167.4,3688.9,7.68,4.8
1974-01-01,4909.617,3139.7,3632.3,7.8,5.1
1974-04-01,4922.188,3150.6,3601.1,7.89,5.2
1974-07-01,4873.52,3163.6,3612.4,8.16,5.6
1974-10-01,4854.34,3117.3,3596.0,6.96,6.6
1975-01-01,4795.295,3143.4,3581.9,5.53,8.2
1975-04-01,4831.942,3195.8,3749.3,5.57,8.9
1975-07-01,4913.328,3241.4,3698.6,6.27,8.5
1975-10-01,4977.511,3275.7,3736.0,5.26,8.3
1976-01-01,5090.663,3341.2,3791.0,4.91,7.7
1976-04-01,5128.947,3371.8,3822.2,5.28,7.6
1976-07-01,5154.072,3407.5,3856.7,5.05,7.7
1976-10-01,5191.499,3451.8,3884.4,4.57,7.8
1977-01-01,5251.762,3491.3,3887.5,4.6,7.5
1977-04-01,5356.131,3510.6,3931.8,5.06,7.1
1977-07-01,5451.921,3544.1,3990.8,5.82,6.9
1977-10-01,5450.793,3597.5,4071.2,6.2,6.6
1978-01-01,5469.405,3618.5,4096.4,6.34,6.3
1978-04-01,5684.569,3695.9,4143.4,6.72,6.0
1978-07-01,5740.3,3711.4,4177.1,7.64,6.0
1978-10-01,5816.222,3741.3,4209.8,9.02,5.9
1979-01-01,5825.949,3760.2,4255.9,9.42,5.9
1979-04-01,5831.418,3758.0,4226.1,9.3,5.7
1979-07-01,5873.335,3794.9,4250.3,10.49,5.9
1979-10-01,5889.495,3805.0,4284.3,11.94,5.9
1980-01-01,5908.467,3798.4,4296.2,13.75,6.3
1980-04-01,5787.373,3712.2,4236.1,7.9,7.3
1980-07-01,5776.617,3752.0,4279.7,10.34,7.7
1980-10-01,5883.46,3802.0,4368.1,14.75,7.4
1981-01-01,6005.717,3822.8,4358.1,13.95,7.4
1981-04-01,5957.795,3822.8,4358.6,15.33,7.4
1981-07-01,6030.184,3838.3,4455.4,14.58,7.4
1981-10-01,5955.062,3809.3,4464.4,11.33,8.2
1982-01-01,5857.333,3833.9,4469.6,12.95,8.8
1982-04-01,5889.074,3847.7,4500.8,11.97,9.4
1982-07-01,5866.37,3877.2,4520.6,8.1,9.9
1982-10-01,5871.001,3947.9,4536.4,7.96,10.7
1983-01-01,5944.02,3986.6,4572.2,8.22,10.4
1983-04-01,6077.619,4065.7,4605.5,8.69,10.1
1983-07-01,6197.468,4137.6,4674.7,8.99,9.4
1983-10-01,6325.574,4203.2,4771.1,8.89,8.5
1984-01-01,6448.264,4239.2,4875.4,9.43,7.9
1984-04-01,6559.594,4299.9,4959.4,9.94,7.5
1984-07-01,6623.343,4333.0,5036.6,10.19,7.4
1984-10-01,6677.264,4390.1,5084.5,8.14,7.3
1985-01-01,6740.275,4464.6,5072.0,8.25,7.3
1985-04-01,6797.344,4505.2,5172.7,7.17,7.3
1985-07-01,6903.523,4590.8,5140.7,7.13,7.2
1985-10-01,6955.918,4600.9,5193.9,7.14,7.0
1986-01-01,7022.757,4639.3,5255.8,6.56,7.0
1986-04-01,7050.969,4688.7,5315.5,6.06,7.2
1986-07-01,7118.95,4770.7,5343.3,5.31,7.0
1986-10-01,7153.359,4799.4,5346.5,5.44,6.8
1987-01-01,7193.019,4792.1,5379.4,5.61,6.6
1987-04-01,7269.51,4856.3,5321.0,5.67,6.3
1987-07-01,7332.558,4910.4,5416.2,6.19,6.0
1987-10-01,7458.022,4922.2,5493.1,5.76,5.9
1988-01-01,7496.6,5004.4,5562.1,5.76,5.7
1988-04-01,7592.881,5040.8,5614.3,6.48,5.5
1988-07-01,7632.082,5080.6,5657.5,7.22,5.5
1988-10-01,7733.991,5140.4,5708.5,8.03,5.3
1989-01-01,7806.603,5159.3,5773.4,8.67,5.2
1989-04-01,7865.016,5182.4,5749.8,8.15,5.2
1989-07-01,7927.393,5236.1,5787.0,7.76,5.3
1989-10-01,7944.697,5261.7,5831.3,7.65,5.4
1990-01-01,8027.693,5303.3,5875.1,7.8,5.3
1990-04-01,8059.598,5320.8,5913.9,7.7,5.3
1990-07-01,8059.476,5341.0,5918.1,7.33,5.7
1990-10-01,7988.864,5299.5,5878.2,6.67,6.1
1991-01-01,7950.164,5284.4,5896.3,5.83,6.6
1991-04-01,8003.822,5324.7,5941.1,5.54,6.8
1991-07-01,8037.538,5345.0,5953.6,5.18,6.9
1991-10-01,8069.046,5342.6,5992.4,4.14,7.1
1992-01-01,8157.616,5434.5,6082.9,3.88,7.4
1992-04-01,8244.294,5466.7,6129.5,3.5,7.6
1992-07-01,8329.361,5527.1,6160.6,2.97,7.6
1992-10-01,8417.016,5594.6,6248.2,3.12,7.4
1993-01-01,8432.485,5617.2,6156.5,2.92,7.2
1993-04-01,8486.435,5671.1,6252.3,3.02,7.1
1993-07-01,8531.108,5732.7,6265.7,3.0,6.8
1993-10-01,8643.769,5783.7,6358.1,3.05,6.6
1994-01-01,8727.919,5848.1,6332.6,3.48,6.6
1994-04-01,8847.303,5891.5,6440.6,4.2,6.2
1994-07-01,8904.289,5938.7,6487.9,4.68,6.0
1994-10-01,9003.18,5997.3,6574.0,5.53,5.6
1995-01-01,9025.267,6004.3,6616.6,5.72,5.5
1995-04-01,9044.668,6053.5,6617.2,5.52,5.7
1995-07-01,9120.684,6107.6,6666.8,5.32,5.7
1995-10-01,9184.275,6150.6,6706.2,5.17,5.6
1996-01-01,9247.188,6206.9,6777.7,4.91,5.5
1996-04-01,9407.052,6277.1,6850.6,5.09,5.5
1996-07-01,9488.879,6314.6,6908.9,5.04,5.3
1996-10-01,9592.458,6366.1,6946.8,4.99,5.3
1997-01-01,9666.235,6430.2,7008.9,5.1,5.2
1997-04-01,9809.551,6456.2,7061.5,5.01,5.0
1997-07-01,9932.672,6566.0,7142.4,5.02,4.9
1997-10-01,10008.874,6641.1,7241.5,5.11,4.7
1998-01-01,10103.425,6707.2,7406.2,5.02,4.6
1998-04-01,10194.277,6822.6,7512.0,4.98,4.4
1998-07-01,10328.787,6913.1,7591.0,4.49,4.5
1998-10-01,10507.575,7019.1,7646.5,4.38,4.4
1999-01-01,10601.179,7088.3,7698.4,4.39,4.3
1999-04-01,10684.049,7199.9,7716.0,4.54,4.3
1999-07-01,10819.914,7286.4,7765.9,4.75,4.2
1999-10-01,11014.254,7389.2,7887.7,5.2,4.1
2000-01-01,11043.044,7501.3,8053.4,5.63,4.0
2000-04-01,11258.454,7571.8,8135.9,5.81,3.9
2000-07-01,11267.867,7645.9,8222.3,6.07,4.0
2000-10-01,11334.544,7713.5,8234.6,5.7,3.9
2001-01-01,11297.171,7744.3,8296.5,4.39,4.2
2001-04-01,11371.251,7773.5,8273.7,3.54,4.4
2001-07-01,11340.075,7807.7,8484.5,2.72,4.8
2001-10-01,11380.128,7930.0,8385.5,1.74,5.5
2002-01-01,11477.868,7957.3,8611.6,1.75,5.7
2002-04-01,11538.77,7997.8,8658.9,1.7,5.8
2002-07-01,11596.43,8052.0,8629.2,1.61,5.7
2002-10-01,11598.824,8080.6,8649.6,1.2,5.8
2003-01-01,11645.819,8122.3,8681.3,1.14,5.9
2003-04-01,11738.706,8197.8,8812.5,0.96,6.2
2003-07-01,11935.461,8312.1,8935.4,0.94,6.1
2003-10-01,12042.817,8358.0,8986.4,0.9,5.8
2004-01-01,12127.623,8437.6,9025.9,0.94,5.7
2004-04-01,12213.818,8483.2,9115.0,1.21,5.6
2004-07-01,12303.533,8555.8,9175.9,1.63,5.4
2004-10-01,12410.282,8654.2,9303.4,2.2,5.4
2005-01-01,12534.113,8719.0,9189.6,2.69,5.3
2005-04-01,12587.535,8802.9,9253.0,3.01,5.1
2005-07-01,12683.153,8865.6,9308.0,3.52,5.0
2005-10-01,12748.699,8888.5,9358.7,4.0,4.9
2006-01-01,12915.938,8986.6,9533.8,4.51,4.7
2006-04-01,12962.462,9035.0,9617.3,4.82,4.7
2006-07-01,12965.916,9090.7,9662.5,4.9,4.7
2006-10-01,13060.679,9181.6,9788.8,4.92,4.4
2007-01-01,13099.901,9265.1,9830.2,4.95,4.5
2007-04-01,13203.977,9291.5,9842.7,4.72,4.5
2007-07-01,13321.109,9335.6,9883.9,4.0,4.7
2007-10-01,13391.249,9363.6,9886.2,3.01,4.8
2008-01-01,13366.865,9349.6,9826.8,1.56,4.9
2008-04-01,13415.266,9351.0,10059.0,1.74,5.4
2008-07-01,13324.6,9267.7,9838.3,1.17,6.0
2008-10-01,13141.92,9195.3,9920.4,0.12,6.9
2009-01-01,12925.41,9209.2,9926.4,0.22,8.1
2009-04-01,12901.504,9189.0,10077.5,0.18,9.2
2009-07-01,12990.341,9256.0,10040.6,0.12,9.6
