unit,year,log_invest,log_capital
General Motors,1935.0,5.760792729372981,1.0296194171811581
General Motors,1936.0,5.9707515055104405,3.9627161197436642
General Motors,1937.0,6.017619504584833,5.055608659738987
General Motors,1938.0,5.551796117658319,5.343290732190768
General Motors,1939.0,5.801513963149536,5.315174483614459
General Motors,1940.0,6.133831788394904,5.333684510385328
General Motors,1941.0,6.238324625039508,5.542047551470635
General Motors,1942.0,6.104793232414985,5.716040372051703
General Motors,1943.0,6.2138077782514225,5.576327819303087
General Motors,1944.0,6.305362461690656,5.306285536197214
General Motors,1945.0,6.330077348228306,5.579729825986222
General Motors,1946.0,6.533934176208434,5.996949477338552
General Motors,1947.0,6.343704671756601,6.635290172335217
General Motors,1948.0,6.271366432240801,6.826978968954849
General Motors,1949.0,6.319148277696116,6.9276559406884735
General Motors,1950.0,6.465989191147641,7.002155954403621
General Motors,1951.0,6.627909092298131,7.0964730032813295
General Motors,1952.0,6.79256886917302,7.265779312490165
General Motors,1953.0,7.173498443915165,7.482850637765946
General Motors,1954.0,7.304314177619305,7.708096293644197
US Steel,1935.0,5.346631226826587,3.9852734671677386
US Steel,1936.0,5.872962503026981,3.9219733362813143
US Steel,1937.0,6.15251990610877,4.771531723203316
US Steel,1938.0,5.569488886872828,5.561450566078405
US Steel,1939.0,5.439816928821736,5.745244264463795
US Steel,1940.0,5.890538628518022,5.538121358755354
US Steel,1941.0,6.158672466091889,5.566051801190121
US Steel,1942.0,6.0994216886130745,5.699439725222064
US Steel,1943.0,5.890538628518022,5.709764546333749
US Steel,1944.0,5.663654683565421,5.6315701405422764
US Steel,1945.0,5.5556690891919835,5.365040998590945
US Steel,1946.0,6.040968742011071,4.887337077751762
US Steel,1947.0,6.041444479413003,5.578974824062853
US Steel,1948.0,6.203547151062767,5.72652196162569
US Steel,1949.0,6.004133950208645,5.861071083174386
US Steel,1950.0,6.037393478996382,5.879974171074619
US Steel,1951.0,6.377067026119895,5.835103091983559
US Steel,1952.0,6.470025210286697,6.096274911460327
US Steel,1953.0,6.46302945692067,6.4355091371836215
US Steel,1954.0,6.129703591331748,6.506829850916005
General Electric,1935.0,3.4995332823830174,4.582924577040772
General Electric,1936.0,3.8066624897703196,4.648229675448539
General Electric,1937.0,4.3463994570307305,4.770684624465665
General Electric,1938.0,3.7977338590260183,5.051137237405586
General Electric,1939.0,3.8732821771117156,5.150976778649327
General Electric,1940.0,4.309455941839047,5.228967288413243
General Electric,1941.0,4.727387818712341,5.397710110426072
General Electric,1942.0,4.520701029361642,5.662265794453267
General Electric,1943.0,4.115779842942166,5.768008446955473
General Electric,1944.0,4.039536325727106,5.772375266121813
General Electric,1945.0,4.539030383483547,5.7670702138921195
General Electric,1946.0,5.074548619839908,5.846438775057725
General Electric,1947.0,4.991792206294776,6.123369617987921
General Electric,1948.0,4.9856593080260785,6.297845696992248
General Electric,1949.0,4.5880240271531205,6.426973776564523
General Electric,1950.0,4.537961436294641,6.472964341492144
General Electric,1951.0,4.906755163608864,6.509216130944706
General Electric,1952.0,5.058154810064233,6.587687746386201
General Electric,1953.0,5.190175207928333,6.684986657373001
General Electric,1954.0,5.244916589820922,6.789984743247629
Chrysler,1935.0,3.696103299203256,2.3513752571634776
Chrysler,1936.0,4.287166353649922,2.322387720290225
Chrysler,1937.0,4.1935863968717495,3.5467396869528134
Chrysler,1938.0,3.9435216724875173,3.9473901492654373
Chrysler,1939.0,3.959097412814075,4.163559631243574
Chrysler,1940.0,4.2400309493514925,4.206184043977636
Chrysler,1941.0,4.224641563169959,4.320151230955794
Chrysler,1942.0,3.845883202923601,4.268297869345539
Chrysler,1943.0,3.858622228701031,4.206184043977636
Chrysler,1944.0,4.087152091640596,4.102643365036796
Chrysler,1945.0,4.486161399405889,4.000033882750859
Chrysler,1946.0,4.3056854014171595,4.440295542797857
Chrysler,1947.0,4.13804241748782,4.572646994282532
Chrysler,1948.0,4.492673154760945,4.702296896718814
Chrysler,1949.0,4.369194655858504,4.993149979755236
Chrysler,1950.0,4.611748501348214,5.094976442530006
Chrysler,1951.0,5.079041326760316,5.31566600488265
Chrysler,1952.0,4.976733742420574,5.671947751136183
Chrysler,1953.0,5.164385893902175,5.846727750641299
Chrysler,1954.0,5.150339263776537,6.028037527338822
Atlantic Refining,1935.0,3.6808472824166723,5.21057845224003
Atlantic Refining,1936.0,3.9265174515785985,5.318119993844216
Atlantic Refining,1937.0,4.307303088477945,5.4638318050256105
Atlantic Refining,1938.0,3.979868552323213,5.675725876873676
Atlantic Refining,1939.0,3.753027273937688,5.777961872830453
Atlantic Refining,1940.0,3.8390221125436557,5.840641657373398
Atlantic Refining,1941.0,4.117409835153096,5.907267388307226
Atlantic Refining,1942.0,3.6805952345262387,6.009304465236313
Atlantic Refining,1943.0,4.130997879870137,6.05584680603725
Atlantic Refining,1944.0,3.9573787071489432,6.152732694704104
Atlantic Refining,1945.0,4.146462516484207,6.213006817055218
Atlantic Refining,1946.0,4.083789048282584,6.281518803704818
Atlantic Refining,1947.0,4.060787778693258,6.339653587396416
Atlantic Refining,1948.0,4.253340627045836,6.389065480159345
Atlantic Refining,1949.0,4.2109417098059145,6.447939576123892
Atlantic Refining,1950.0,4.020698022053802,6.495718625490934
Atlantic Refining,1951.0,4.385769620952716,6.527811708104051
Atlantic Refining,1952.0,4.447346100794524,6.592085169990187
Atlantic Refining,1953.0,4.520701029361642,6.651959395392677
Atlantic Refining,1954.0,4.39974375547904,6.690718046099688
IBM,1935.0,3.013572191682322,1.8718021769015913
IBM,1936.0,3.2573270112424533,2.760009940032921
IBM,1937.0,3.255786178888298,3.3214324131932926
IBM,1938.0,3.315276319154516,3.6686767467964168
IBM,1939.0,3.202746442938317,3.883623530906448
IBM,1940.0,3.3513066120486905,3.960813169597578
IBM,1941.0,3.770689829311502,4.119037174812473
IBM,1942.0,3.7567717201568547,4.388257184424518
IBM,1943.0,3.326473835466219,4.547541073151455
IBM,1944.0,3.484312288372662,4.528289141652134
IBM,1945.0,3.6643305811925235,4.525044141508807
IBM,1946.0,3.9154172384961616,4.545420181582317
IBM,1947.0,3.948354934675536,4.713127327493184
IBM,1948.0,4.159351723530711,4.847331743138063
IBM,1949.0,4.221857882521061,5.005957704545144
IBM,1950.0,4.348211286179151,5.10230248262208
IBM,1951.0,4.557029810660157,5.177279038170981
IBM,1952.0,4.600057136601269,5.298317366548036
IBM,1953.0,4.848273215041905,5.354224998486333
IBM,1954.0,4.910593939916029,5.4752075333447845
Union Oil,1935.0,3.195811885269649,4.607168188650764
Union Oil,1936.0,3.1445832202863455,4.8283137373023015
Union Oil,1937.0,3.4898185733156835,4.958639998977875
Union Oil,1938.0,3.482470101790892,5.1065513509260825
Union Oil,1939.0,3.2827891506118534,5.271973391208435
Union Oil,1940.0,3.5177945292459696,5.406723240391823
Union Oil,1941.0,3.7727609380946383,5.529825834193874
Union Oil,1942.0,3.5397992310997837,5.621487231929371
Union Oil,1943.0,3.790533107840436,5.7047819749892845
Union Oil,1944.0,4.259859000699674,5.762680115903686
Union Oil,1945.0,3.786913194385302,5.817706220974515
Union Oil,1946.0,3.891412051524022,5.861355861760962
Union Oil,1947.0,3.8817699622571253,5.923185706354688
Union Oil,1948.0,3.912023005428146,5.964607092938099
Union Oil,1949.0,3.923753928303845,6.008075812913178
Union Oil,1950.0,3.750209709265542,6.06262174142431
Union Oil,1951.0,4.170842533194826,6.110580027998144
Union Oil,1952.0,4.28606624352797,6.146115101976891
Union Oil,1953.0,4.3021714094244174,6.186620061882023
Union Oil,1954.0,4.494350350882848,6.236956502085953
Westinghouse,1935.0,2.559550192783766,0.5877866649021191
Westinghouse,1936.0,3.254242968705492,-0.2231435513142097
Westinghouse,1937.0,3.5567756134805992,2.0014800002101243
Westinghouse,1938.0,3.1307001339644756,2.89591193827178
Westinghouse,1939.0,2.935982269148217,3.1570004211501135
Westinghouse,1940.0,3.3523572162426816,3.2771447329921766
Westinghouse,1941.0,3.8817699622571253,3.5890591188317256
Westinghouse,1942.0,3.769075996108213,4.107589788972121
Westinghouse,1943.0,3.6114583071453517,4.4355674016019115
Westinghouse,1944.0,3.6325736179028416,4.513054897080286
Westinghouse,1945.0,3.6704608685899185,4.526126978647638
Westinghouse,1946.0,3.978933710710773,4.454347296253507
Westinghouse,1947.0,4.017463517886143,4.7104306966455844
Westinghouse,1948.0,3.9031840567609417,4.8721392168423305
Westinghouse,1949.0,3.4669851222001586,4.954417614098027
Westinghouse,1950.0,3.4732079176384274,4.917788743729904
Westinghouse,1951.0,3.995996439204325,4.865224091322398
Westinghouse,1952.0,4.273605885719461,4.980176086611547
Westinghouse,1953.0,4.50069816439138,5.163642463221435
Westinghouse,1954.0,4.22829253473184,5.363636832668679
Goodyear,1935.0,3.282038399825841,5.087596335232384
Goodyear,1936.0,3.1523085805960878,5.159055299214529
Goodyear,1937.0,3.4226326623822203,5.209486152841421
Goodyear,1938.0,3.0392705755684744,5.288267030694535
Goodyear,1939.0,3.359680701459222,5.337538079701318
Goodyear,1940.0,3.2932409068235073,5.407171771460119
Goodyear,1941.0,3.4682327829983137,5.455321115357702
Goodyear,1942.0,3.4722769633431074,5.5134287461649825
Goodyear,1943.0,3.574870537502069,5.6131281063880705
Goodyear,1944.0,4.134686441505479,5.641907070938114
Goodyear,1945.0,3.9573787071489432,5.755742213586912
Goodyear,1946.0,4.0421736898931915,5.71042701737487
Goodyear,1947.0,3.9948924832504407,5.808142489980444
Goodyear,1948.0,3.7020424406402173,5.883322388488279
Goodyear,1949.0,3.482470101790892,5.91350300563827
Goodyear,1950.0,3.7723010622530087,5.929589143389895
Goodyear,1951.0,4.034063631337171,5.968707559985366
Goodyear,1952.0,4.1893516658004355,6.025865973825314
Goodyear,1953.0,4.191320021345486,6.093569770045136
Goodyear,1954.0,3.8987351111012107,6.148468295917647
Diamond Match,1935.0,0.9321640810304452,1.5040773967762742
Diamond Match,1936.0,0.6931471805599453,1.5496879080283263
Diamond Match,1937.0,0.7839015438284094,1.5195132049061133
Diamond Match,1938.0,0.688134638736401,1.5173226235262947
Diamond Match,1939.0,0.7080357930536959,1.4770487243883548
Diamond Match,1940.0,0.5933268452777344,1.43746264769429
Diamond Match,1941.0,0.7608058290337602,1.415853163361435
Diamond Match,1942.0,0.62057648772511,1.3428648031925547
Diamond Match,1943.0,-0.07257069283483537,1.275362800412609
Diamond Match,1944.0,0.16551443847757333,1.2267122912954254
Diamond Match,1945.0,0.3074846997479607,1.1969481893889715
Diamond Match,1946.0,0.8064758658669485,1.172482137234565
Diamond Match,1947.0,1.3376291891386096,1.3609765531356006
Diamond Match,1948.0,1.7334238922150915,1.682688374173693
Diamond Match,1949.0,1.43746264769429,2.0001277349601105
Diamond Match,1950.0,1.2296405510745139,2.167910189667444
Diamond Match,1951.0,1.541159071680806,2.2049722641270453
Diamond Match,1952.0,1.791759469228055,2.295560478057081
Diamond Match,1953.0,1.8764069432883397,2.457877977400081
Diamond Match,1954.0,1.6331544390514163,2.6623552418400807
American Steel,1935.0,1.0777290777516857,3.9514552346718603
American Steel,1936.0,1.730415838987003,3.968460048031306
American Steel,1937.0,2.3256177921046186,3.998182352877007
American Steel,1938.0,1.3977287387455537,4.089700461728444
American Steel,1939.0,1.201770380770736,4.121619204356981
American Steel,1940.0,1.5432981099295553,4.131046079222668
American Steel,1941.0,1.7460645099659255,4.148848530209905
American Steel,1942.0,2.4946094252493856,4.1722465185833215
American Steel,1943.0,2.72628296936327,4.21881628973294
American Steel,1944.0,2.2273226084934987,4.2426208788567585
American Steel,1945.0,2.2593643905394822,4.236191286450337
American Steel,1946.0,1.3752334137604656,4.252330734278883
American Steel,1947.0,1.3439086446234527,4.263397929039419
American Steel,1948.0,1.7867469274045107,4.2698093315528425
American Steel,1949.0,1.8614409924288633,4.301724518356832
American Steel,1950.0,1.5623463049002497,4.3287181532654815
American Steel,1951.0,1.8767131751082187,4.348560333090721
American Steel,1952.0,1.991839080943713,4.364766023714745
American Steel,1953.0,2.199444334074532,4.384710529803039
American Steel,1954.0,1.8375292034722437,4.42828979914352
